ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1727271	2.26e-14	1.51e-18	13.109862	31.818293	1.5313363	47419915	WARS	tryptophanyl-tRNA synthetase
ILMN_2337655	2.25e-13	4.26e-17	12.08379	28.597445	1.4286979	47419913	WARS	tryptophanyl-tRNA synthetase
ILMN_2114568	2.25e-13	4.72e-17	12.053457	28.505161	2.1728458	197333735	GBP5	guanylate binding protein 5
ILMN_2261600	2.25e-13	6.00e-17	11.981039	28.248691	2.6839652	349732137	FCGR1B	Fc fragment of IgG receptor Ib
ILMN_2176063	6.41e-13	2.13e-16	11.603668	27.005086	2.9127567	167621452	FCGR1A	Fc fragment of IgG receptor Ia
ILMN_2391051	1.00e-12	4.34e-16	11.394817	26.283965	2.7973316	349732138	FCGR1B	Fc fragment of IgG receptor Ib
ILMN_1690241	1.00e-12	4.67e-16	11.373253	25.801345	3.0578639	45238853	BATF2	basic leucine zipper ATF-like transcription factor 2
ILMN_1654389	1.29e-12	6.87e-16	11.260239	25.424289	3.0425934	NA		
ILMN_1713058	4.79e-12	2.87e-15	10.846141	24.487575	1.4980574	165905600	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
ILMN_1690105	8.88e-12	5.92e-15	10.639288	23.791447	1.3740895	189458859	STAT1	signal transducer and activator of transcription 1
ILMN_1809467	1.01e-11	7.41e-15	10.574979	23.570084	1.3951913	31543930	VAMP5	vesicle associated membrane protein 5
ILMN_1670305	1.86e-11	1.49e-14	10.377011	22.547976	3.3788247	73858569	SERPING1	serpin family G member 1
ILMN_1774077	4.04e-11	3.50e-14	10.136275	22.067013	0.9717388	520975408	GBP2	guanylate binding protein 2
ILMN_1769520	4.30e-11	4.01e-14	10.098316	21.933317	1.0887133	332078505	UBE2L6	ubiquitin conjugating enzyme E2 L6
ILMN_1690939	5.31e-11	5.44e-14	10.012435	21.518716	1.190739	384229046	TYMP	thymidine phosphorylase
ILMN_2148785	5.45e-11	6.17e-14	9.977633	21.505246	1.9343294	166706902	GBP1	guanylate binding protein 1
ILMN_1851599	5.31e-11	5.66e-14	10.001507	21.459326	2.8698469	27878199		
ILMN_2167426	6.72e-11	8.05e-14	9.903335	21.161455	1.1570517	194328778	ASPHD2	aspartate beta-hydroxylase domain containing 2
ILMN_2328776	7.74e-11	9.79e-14	-9.8488	21.048511	-0.6280108	109633027	STK26	serine/threonine protein kinase 26
ILMN_1798270	1.00e-10	1.33e-13	9.763108	20.74232	1.0702232	169234727	SMCO4	single-pass membrane protein with coiled-coil domains 4
ILMN_1782487	1.16e-10	1.63e-13	9.706969	20.512236	2.2673605	166091468	GBP1P1	guanylate binding protein 1 pseudogene 1
ILMN_1799848	1.16e-10	1.70e-13	9.695634	20.420021	3.5909771	154091031	ANKRD22	ankyrin repeat domain 22
ILMN_1703108	1.51e-10	2.31e-13	9.610503	20.212936	1.2004942	332078505	UBE2L6	ubiquitin conjugating enzyme E2 L6
ILMN_1707077	1.52e-10	2.43e-13	9.596504	20.154123	0.9947982	942429602	SORT1	sortilin 1
ILMN_1845037	1.52e-10	2.53e-13	9.58573	20.11767	0.9479366	22658346	LOC100419583	ring finger protein 4 pseudogene
ILMN_1654685	1.55e-10	2.69e-13	9.568931	20.062079	1.1384413	663071072	MCTP1	multiple C2 and transmembrane domain containing 1
ILMN_1756999	1.62e-10	2.91e-13	-9.546754	19.988925	-0.5902437	172072596	RBL2	RB transcriptional corepressor like 2
ILMN_1691364	1.62e-10	3.10e-13	9.529319	19.925743	1.1104113	189458858	STAT1	signal transducer and activator of transcription 1
ILMN_1701114	1.62e-10	3.14e-13	9.526402	19.916293	1.8889418	166706902	GBP1	guanylate binding protein 1
ILMN_1681301	1.94e-10	4.00e-13	9.459388	19.678879	1.8899512	4757733	AIM2	absent in melanoma 2
ILMN_1786426	1.94e-10	4.00e-13	9.459217	19.678412	0.7780267	142378920	IGFLR1	IGF like family receptor 1
ILMN_2370825	2.03e-10	4.32e-13	-9.438483	19.604769	-0.7976812	71902539	ATM	ATM serine/threonine kinase
ILMN_1708728	2.33e-10	5.11e-13	9.392007	19.439201	1.0897953	574957222	H2AFJ	H2A histone family member J
ILMN_1771385	3.21e-10	7.27e-13	9.295262	19.094603	1.3088037	197333738	GBP4	guanylate binding protein 4
ILMN_1779214	3.82e-10	8.91e-13	-9.239802	18.896628	-0.8792393	71902539	ATM	ATM serine/threonine kinase
ILMN_1747744	3.98e-10	9.53e-13	9.221408	18.817913	1.4028515	108773776	LHFPL2	lipoma HMGIC fusion partner-like 2
ILMN_1776157	4.22e-10	1.04e-12	9.197804	18.685343	2.2911901	542133092	SEPT4	septin 4
ILMN_1672807	5.92e-10	1.54e-12	-9.090457	18.346862	-1.0556595	95147552	CA5B	carbonic anhydrase 5B
ILMN_1710434	5.92e-10	1.58e-12	-9.084164	18.339245	-0.7469474	374671769	TBC1D10C	TBC1 domain family member 10C
ILMN_1652989	6.30e-10	1.72e-12	-9.060515	18.253652	-0.7388266	971825874	NUP160	nucleoporin 160
ILMN_1679929	7.06e-10	1.97e-12	-9.022677	18.118298	-0.5661106	698320876	KLF13	Kruppel like factor 13
ILMN_1792497	7.41e-10	2.12e-12	9.003372	18.044288	0.7748433	206597503	AGFG1	ArfGAP with FG repeats 1
ILMN_1860051	5.31e-10	1.34e-12	9.127782	17.964567	2.3997009	1621766		
ILMN_1683792	8.55e-10	2.50e-12	8.95805	17.886353	1.5518119	41393560	LAP3	leucine aminopeptidase 3
ILMN_1775542	9.54e-10	2.86e-12	-8.922192	17.756558	-1.2450144	216547545	FCMR	Fc fragment of IgM receptor
