ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
ILMN_1651490	CYP26A1	cytochrome P450 family 26 subfamily A member 1	1.124	4.396
ILMN_1651498	GADD45G	growth arrest and DNA damage inducible gamma	1.613	7.288
ILMN_1652371	KIAA1324L	KIAA1324 like	-1.24	3.484
ILMN_1652487	RIOK1	RIO kinase 1	-1.065	4.828
ILMN_1654287	ADCY9	adenylate cyclase 9	-1.015	3.701
ILMN_1654389			3.043	15.163
ILMN_1654685	MCTP1	multiple C2 and transmembrane domain containing 1	1.138	12.571
ILMN_1656940	ABLIM3	actin binding LIM protein family member 3	1.066	6.616
ILMN_1657683	C1orf198	chromosome 1 open reading frame 198	1.021	7.231
ILMN_1657708	MGLL	monoglyceride lipase	1.057	4.992
ILMN_1657868	SIRT4	sirtuin 4	-1.461	5.436
ILMN_1657871	RSAD2	radical S-adenosyl methionine domain containing 2	1.741	4.428
ILMN_1658677	DTX3	deltex E3 ubiquitin ligase 3	-1.222	5.485
ILMN_1658697			1.104	3.499
ILMN_1658728	ZBTB25	zinc finger and BTB domain containing 25	-1.045	5.32
ILMN_1659047	HIST2H2AA3	histone cluster 2, H2aa3	1.001	7.18
ILMN_1659227	CD79A	CD79a molecule	-2.26	5.154
ILMN_1659444	KIF1B	kinesin family member 1B	1.225	8.672
ILMN_1660114	MMRN1	multimerin 1	1.261	5.798
ILMN_1660412			-1.008	5.288
ILMN_1660624	LIMK2	LIM domain kinase 2	1.416	6.887
ILMN_1661589	CD151	CD151 molecule (Raph blood group)	1.385	8.311
ILMN_1661646	BANK1	B-cell scaffold protein with ankyrin repeats 1	-1.259	9.509
ILMN_1662619	TFPI	tissue factor pathway inhibitor	1.219	7.576
ILMN_1663119	DSC2	desmocollin 2	1.344	5.16
ILMN_1664063	FAM129C	family with sequence similarity 129 member C	-1.441	6.673
ILMN_1664265	EPHA1	EPH receptor A1	-1.132	4.752
ILMN_1664330	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1	1.478	7.322
ILMN_1664543	IFIT3	interferon induced protein with tetratricopeptide repeats 3	1.993	7.171
ILMN_1665540			1.054	7.353
ILMN_1665761	BCL11B	B-cell CLL/lymphoma 11B	-1	9.404
ILMN_1667022	PASK	PAS domain containing serine/threonine kinase	-1.047	4.968
ILMN_1668277	BLK	BLK proto-oncogene, Src family tyrosine kinase	-1.471	7.046
ILMN_1669177	DHRS12	dehydrogenase/reductase 12	1.064	7.107
ILMN_1669497	OSBPL10	oxysterol binding protein like 10	-1.819	9.476
ILMN_1670305	SERPING1	serpin family G member 1	3.379	13.827
ILMN_1670410			1.018	7.885
ILMN_1671142	GPR68	G protein-coupled receptor 68	-1.157	5.76
ILMN_1671486			1.006	4.202
ILMN_1671703	ACTA2	actin, alpha 2, smooth muscle, aorta	1.133	9.349
ILMN_1671928	PROS1	protein S (alpha)	1.002	3.456
ILMN_1672022	EPHA4	EPH receptor A4	-1.751	7.579
ILMN_1672575	SLC26A8	solute carrier family 26 member 8	1.173	5.595
ILMN_1672807	CA5B	carbonic anhydrase 5B	-1.056	11.813
ILMN_1673548	LGALSL	galectin like	1.178	4.538
ILMN_1674574	VNN1	vanin 1	1.102	4.945
ILMN_1674789			1.159	8.312
ILMN_1674891			1.081	9.987
ILMN_1675062	MYL9	myosin light chain 9	1.468	6.355
ILMN_1675354			1.517	7.94
ILMN_1675617	NT5M	5',3'-nucleotidase, mitochondrial	1.286	5.717
ILMN_1675756	KCNJ15	potassium voltage-gated channel subfamily J member 15	1.596	7.398
ILMN_1676893	ADCY3	adenylate cyclase 3	1.063	8.122
ILMN_1677693	HCAR3	hydroxycarboxylic acid receptor 3	1.145	5.836
ILMN_1677793	P2RX5	purinergic receptor P2X 5	-1.279	4.401
ILMN_1678494	ZNF438	zinc finger protein 438	1.083	8.114
ILMN_1679357	DEFA1B	defensin alpha 1B	1.24	3.453
ILMN_1679620			1.058	5.843
ILMN_1681249	KIF21A	kinesin family member 21A	-1.097	4.622
ILMN_1681301	AIM2	absent in melanoma 2	1.89	12.398
ILMN_1681601	SUCNR1	succinate receptor 1	1.455	8.574
ILMN_1681721	OASL	2'-5'-oligoadenylate synthetase like	1.236	2.884
ILMN_1683250			1.286	8.529
ILMN_1683678	SPATS2L	spermatogenesis associated serine rich 2 like	1.013	5.409
ILMN_1683792	LAP3	leucine aminopeptidase 3	1.552	11.601
ILMN_1684445	FCRL5	Fc receptor like 5	-1.091	4.684
ILMN_1686454	TIFA	TRAF interacting protein with forkhead associated domain	1.432	6.813
