"initial_alias","converted_alias","name","description","namespace"
"WARS","None","None","None",""
"FCGR1B","None","None","None",""
"GBP5","ENSG00000154451","GBP5","guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WARS","None","None","None",""
"FCGR1A","ENSG00000150337","FCGR1A","Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BATF2","ENSG00000168062","BATF2","basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FCGR1B","None","None","None",""
"PSTPIP2","ENSG00000152229","PSTPIP2","proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAT1","ENSG00000115415","STAT1","signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VAMP5","ENSG00000168899","VAMP5","vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERPING1","ENSG00000149131","SERPING1","serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GBP2","ENSG00000162645","GBP2","guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE2L6","ENSG00000156587","UBE2L6","ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TYMP","ENSG00000025708","TYMP","thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GBP1","ENSG00000117228","GBP1","guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASPHD2","ENSG00000128203","ASPHD2","aspartate beta-hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMCO4","ENSG00000166002","SMCO4","single-pass membrane protein with coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:24810]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD22","ENSG00000152766","ANKRD22","ankyrin repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:28321]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GBP1P1","ENSG00000225492","GBP1P1","guanylate binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39561]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"GBP1P1","ENSG00000290525","GBP1P1","guanylate binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39561]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"UBE2L6","ENSG00000156587","UBE2L6","ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SORT1","ENSG00000134243","SORT1","sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LOC100419583","None","None","None",""
"MCTP1","ENSG00000175471","MCTP1","multiple C2 and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26183]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GBP1","ENSG00000117228","GBP1","guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAT1","ENSG00000115415","STAT1","signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AIM2","ENSG00000163568","AIM2","absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGFLR1","ENSG00000126246","IGFLR1","IGF like family receptor 1 [Source:HGNC Symbol;Acc:HGNC:23620]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"H2AFJ","None","None","None",""
"GBP4","ENSG00000162654","GBP4","guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LHFPL2","ENSG00000145685","LHFPL2","LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEPT4","None","None","None",""
"AGFG1","ENSG00000173744","AGFG1","ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAP3","ENSG00000002549","LAP3","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DUSP3","ENSG00000108861","DUSP3","dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAT1","ENSG00000115415","STAT1","signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TLR5","ENSG00000187554","TLR5","toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOCS1","ENSG00000185338","SOCS1","suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXO6","ENSG00000116663","FBXO6","F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCO2","ENSG00000284194","SCO2","synthesis of cytochrome C oxidase 2 [Source:HGNC Symbol;Acc:HGNC:10604]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UPP1","ENSG00000183696","UPP1","uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHBDF2","ENSG00000129667","RHBDF2","rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPM4","ENSG00000167460","TPM4","tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GBP6","ENSG00000183347","GBP6","guanylate binding protein family member 6 [Source:HGNC Symbol;Acc:HGNC:25395]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFI35","ENSG00000068079","IFI35","interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYB5R3","ENSG00000100243","CYB5R3","cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHBDF2","ENSG00000129667","RHBDF2","rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
